Aeg;Mis koolis laps käib?;Mis on lapse sugu? ;Mitmendas klassis laps õpib?;Kui pikk on lapse koolitee?;Kui tihti sõidetakse autoga kooli?;Kui tihti sõidab laps ühistranspordiga kooli?;Kui tihti läheb laps jalgsi kooli?;Kui tihti sõidab laps jalgrattaga kooli?;Kui tihti läheb laps motoriseeritud kaherattalisega kooli?;Kui tihti sõidab laps ise kooli?;Miks just see vahend kooli minekuks?;Kui tihti tuleb laps autoga koolist?;Kui tihti viiakse laps autoga kuni ühistranspordi peatuseni?;Kui tihti tuleb laps ühistranspordiga koolist?;Kui tihti tuleb laps jalgsi koolist?;Kui tihti tuleb laps jalgrattaga koolist?;Kui tihti tuleb laps motoriseeritud kaherattalisega koolist?;Kui tihti sõidab laps ise koolist?;Miks just see vahend koolist tulemiseks?;Kas kasutate lapse kooli viimiseks või koolist toomiseks autot?;Kui turvaliseks hindate lapse kooliteed viies last kooli autoga?;Milliseid ohte oskate välja tuua?;Kui palju aega kulub teil tavaliselt autoga lapse kooli viimiseks / koolist koju toomiseks;Mis põhjustel last autoga kooli viiakse?;Kui oluliseks peate koolitee valikul mõju lapse tervisele?;Kui oluliseks peate koolitee valikul mõju keskkonnale?;Kas ja mis teie elus muutuks kui teie laps iseseisvalt rohkem koolis käiks;Kui palju aega kulub lapsel tavaliselt iseseisvalt kooli minemiseks / koolist koju tulemiseks?;Kas ja mis tingimustel sa oleks laps valmis/nõus rohkem iseseisvalt koolis käima?;Kui heaks hindad lapse liikluskäitumist?;Kui palju keskmiselt liigub laps (õues / trennid jms) igapäevaselt?;Kui turvaliseks hindad lapse kooliteed kui läheb kooli iseseisvalt (jalgsi jalgrattaga ühistranspordiga vms)?;Kas kooliteel esineb järgnevaid ohte? Märgi kõik ohud;Kui palju tekitab teile muret lapse turvalisuse osas see, et laps iseseisvalt liigeldes liigselt nutitelefoni kasutab?;Milliseid ohtlikke liiklussituatsioone olete kooli ümbruses tähele pannud?;Milline on teie enda liikluskäitumine kooli ümbruses?;Kas teie hinnangul saaks kool midagi kooli ümbruse ohutustamiseks teha?;Kas teie hinnangul saate ka ise midagi kooli ümbruse ohutustamiseks teha?;Milliseid muid lahendusi pakute välja selleks et kooli ümbrust ohutumaks muuta?
11/22/2019 13:39:45;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;Kuni 1 km;Mitte kunagi;Mitte kunagi;Pooltel kordadel nädalast;Pooltel kordadel nädalast;Mitte kunagi;Mitte kunagi;Laps ise eelistab tõukerattaga sõita, kehvade ilmadega ja lumega käib jala.;Mitte kunagi;Mitte kunagi;Mitte kunagi;Pooltel kordadel nädalast;Pooltel kordadel nädalast;Mitte kunagi;Mitte kunagi;;Ei kasuta lapse transportimiseks autot;;;;;;;;5-10 minutit;käibki ise;Hea;rohkem kui 60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Paneelmajade ümbrused on autosid täis+ei näe tänavale. ;On probleem ;Vanemad sõidavad kooli hoovi, ummistavad kitsa sissesõidutee. Keelumärk on, seda ei peeta miskiks.;Ei sõida autoga;On teinud, Vanemad ei hooli. Suhtumine näitab, et lapseke peab saama treppi sõidutatud. Aegajalt kontrollitakse, asi ei muutu.;Mina autoga ei sõida, saan vaid jutuga mõjutada.;
11/22/2019 13:41:33;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;Üle 10 km;Harva;Alati;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Meie liikumisteed on erinevad ja laps jõuab mugavalt kooli;Harva;Mitte kunagi;Alati;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mugav ;Toon autoga koolist (isegi kui vahel harva);suhteliselt ohutu;Liiklusõnnetus;11-20 minutit;Viime halva ilma korral;Pean oluliseks;Pean väga oluliseks;Ei muutu midagi+sest ta käibki ise;46-60 minutit;Kõigega nõus;Hea;rohkem kui 60 minutit;Suhteliselt ohutu;Väikesed ohutussaared suure liiklusega teel;Ei tekita muret;Ei ole märganud;Pargin koolist eemale;Ei;Sõidan aeglasemalt;
11/22/2019 13:46:36;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;1-5 km;Pooltel kordadel nädalast;Harva;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Laps liigub kooli erinevatest kohtadest, kas jalgsi, bussiga või autoga.;Harva;Mitte kunagi;Pooltel kordadel nädalast;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Viin autoga kooli (isegi kui vahel harva);täiesti ohutu;;11-20 minutit;Kui lapsed paluvad;Nii ja naa;Nii ja naa;Käib ise koolis;31-45 minutit;käibki ise;Hea;31-45 minutit;Täiesti Suhteliselt ohutu;Minu arvates ei ole lapsel kooliteel mingeid ohte;Ei tekita muret;Ei ole märganud;Ei pargi kooli juures;Kõik on hästi;Ei;
11/22/2019 13:51:46;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;5-10 km;Alati;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Jääb hommikul tööle sõites tee peale;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Jala oleks liiga pikk maa;Viin autoga kooli (isegi kui vahel harva);täiesti ohutu;;5-10 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);Nii ja naa;Suhteliselt ebaoluline;Laps peaks ärkama senisest niigi varajasest ajast 20 min varem ;31-45 minutit;Kui tunnid algaksid hiljem;Väga hea;21-30 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju;Nii ja naa;Ei ole märganud;Pargin poe ees olevasse parklasse, jälgin hoolega eest ja tagant mööduvaid koolilapsi;;Jah, olles tähelepanelik;Talvel võiks poe esise parkla lumest puhta hoida
11/22/2019 14:04:43;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;Üle 10 km;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kool jääb tööle sõites teekonna peale.;Harva;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Peale kooli läheb laps ema või isa töö juurde, sinna on jala liiga pikk tee.;Viin autoga kooli (isegi kui vahel harva);täiesti ohutu;;21-30 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);Pean väga oluliseks;Ei pea üldse oluliseks;Ei muutu midagi, sest autoga tuleb tööle nagunii sõita.;21-30 minutit;Kui elaksime koolile lähemal ja ühistranspordipeatus oleks paremas kohas. Hetkel peaks õhtul minema üle Paldiski maantee mööda reguleerimata sebra, see on liiga ohtlik.;Hea;rohkem kui 60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Lubatud sõidukiirust ületavad juhid;On suur probleem ;Lapsed jooksevad ülekäigurajale ilma selle ohutuses veendumata.;Kollase keskuse parklasse, sest sealt saab laps jala edasi kooli minna. ;;;
11/22/2019 14:10:11;Tallinna Järveotsa Gümnaasium;Mees;1.-3.;Kuni 1 km;Mitte kunagi;Mitte kunagi;Alati;Tihti;Mitte kunagi;Mitte kunagi;kool lähedal;Mitte kunagi;Mitte kunagi;Mitte kunagi;Alati;Tihti;Mitte kunagi;Mitte kunagi;;Ei kasuta lapse transportimiseks autot;;;;;;;;5-10 minutit;käibki ise;Hea;rohkem kui 60 minutit;Suhteliselt ohutu;Pööret lõpetavad juhid ei anna lastele teed+Lubatud sõidukiirust ületavad juhid;Suhteliselt väike probleem;Õuealal kiirust ületavad autod;Ei sõida autoga;Hetkel on kooliümbrus ümpris ohutu, ei näe, et kool saaks midagi enamat teha. ;;
11/22/2019 14:11:40;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;Kuni 1 km;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;kõige otstarbekam;Mitte kunagi;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Ei kasuta lapse transportimiseks autot;;;;;;;;alla 5 minuti;käibki ise;Hea;21-30 minutit;Täiesti Suhteliselt ohutu;Minu arvates ei ole lapsel kooliteel mingeid ohte;On probleem ;Ei ole märganud;Ei;Ei;Ei ;
11/22/2019 14:15:46;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;5-10 km;Harva;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Laps saab liikuda ja ärkab korralikult ülesse;Harva;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Vanemad tavaliselt tööl;Viin autoga kooli (isegi kui vahel harva);nii ja naa;Liiklus;11-20 minutit;Viime halva ilma korral+Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem)+Kui oleme hiljaks jäämas+Kui lapsed on hommikul väga väsinud;Pean väga oluliseks;Pean väga oluliseks;Ei muutu midagi+ ta käib iseseisvalt väga palju;21-30 minutit;käibki ise;Hea;rohkem kui 60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Suurem oht langeda kuriteo ohvriks+Sõidukijuhid sõidavad tihti punase fooritulega ristmikule+mida lapsed peavad ületama+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;Suhteliselt väike probleem;Liigne kiirus, kitsad tänavad kuna autod pargivad, valgusfoorita ülekäigurada;Koolihoovi kui koosolek vms, koolist kaugemale, kui viin last kooli;Võiks parklaid kooli ümbruses üldisemalt suurendada. Kui lapsed tulevad bussiga, valgusfooriga ülekäik;Mitte sõita sutoga;
11/22/2019 14:16:32;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;5-10 km;Alati;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Hommikul kohutav liiklus Rannamõisa teel ja seal lähiümbruses+pimedad tänavad.On turvalisem ja kiireim viis ise viia.;Harva;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest siis on tavaliselt väljas valge ja teed turvalisemad, nähtavus parem ja närvilised täiskasvanud autoroolist tööl veel. Ise samuti veel tööl kui lapsel koolipäev läbi saab.;Viin autoga kooli (isegi kui vahel harva);suhteliselt ohutu;Kooli ümbrus on kahtlane, sest asub magala piirkonnas ja kuna pood on ka lähedal, siis liigub ikka veider kahtlane seltskond seal. Purjus tülitavad inimesed, eluheidikud ja mitte eesti keelt kõnelevad kibestunud pensionärid.;5-10 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem)+Sest nii on ohutum;Nii ja naa;Nii ja naa;Ei muutu midagi;31-45 minutit;Kui kool hakkaks hiljem ja oleks korralik ning valgustatud tee bussipeatuseni.;Väga hea;rohkem kui 60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Suurem oht langeda kuriteo ohvriks+Sõidukijuhid sõidavad tihti punase fooritulega ristmikule+mida lapsed peavad ületama+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;On suur probleem ;Sõidetakse ilge hooga ülekäigurajale, lapsi tilgub üle parkla ükshaaval, et tagurdades ei näe neid tihti, samamoodi ka ülbed pensionärid.;Tavaliselt pargin auto kooli lähedale keskuse parklasse.;Hetkel ei oska öelda - oleme kohandanud kõik enda tegemised, et oleks turvalisem. ;Olen palunud lapsel liigelda ainult kõnniteedel ja olla väga tähelepanelik kui poodi läheb, et ei tormaks läbi parkimisala.;
11/22/2019 14:21:18;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;5-10 km;Harva;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Lapsele meeldib;Mitte kunagi;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Lapsele meeldib ise minna;Viin autoga kooli (isegi kui vahel harva);suhteliselt ohutu;Liikluskultuur on olematu;11-20 minutit;Kui lapsed on hommikul väga väsinud+Sest nii on ohutum;Pean väga oluliseks;Pean oluliseks;Kütust kuluks vähem;21-30 minutit;Ohutum teeületus üle paldiski mnt;Hea;rohkem kui 60 minutit;Väga ohtlik;Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Sõidukijuhid sõidavad tihti punase fooritulega ristmikule+mida lapsed peavad ületama+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;Ei tekita muret;Juhid ületavad sõidukiirust ja rikuvad liiklureegleid;Pargin koolist eemale;Keelata sissesõit kooli territooriumile;Ei ;
11/22/2019 14:30:01;Tallinna Järveotsa Gümnaasium;Mees;1.-3.;1-5 km;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Jääb liikumistrajektoorile;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Tegemist 1.klassi õpilasega, veel ei lase üksinda liigelda.;Viin autoga kooli (isegi kui vahel harva);suhteliselt ohutu;Lähedal asuvas parklas olen näinud süstalt  koos nõelaga vedelemas. Loodetavasti selgitustöö lapsele, selliste asjade mitte puutumisest on arusaadav.;5-10 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);Pean väga oluliseks;Pean oluliseks;"Hommikuti peaks laps kodust 20 minutit varem lahkuma, et jôuda ühistranspordile.
Koolist koju hakkab lähiajal iseseisvalt, ühistranspordiga liikuma.";21-30 minutit;Kui on rohkem koolis käimisega harjunud;Hea;46-60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed;On suur probleem ;Ei ole märganud;Õhtul trenni järele minnes kooli parklasse, hommikuti lähedal asuvasse parklasse ja sealt jalgsi mööda kergliiklusteed koolini;Ei;Selgitada ja suunata lapse enda tähelepanelikkust ja liikkuskäitumist;
11/22/2019 14:57:55;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;Kuni 1 km;Tihti;Harva;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sõidan ise tööle ja viin last kooli;Mitte kunagi;Mitte kunagi;Tihti;Harva;Harva;Mitte kunagi;Mitte kunagi;Ei ole võimalust last koju viia;Viin autoga kooli (isegi kui vahel harva);väga ohtlik;Kitsad teed kus samaaegselt sõidavad autod ja käivad lapsed;5-10 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);Pean oluliseks;Pean oluliseks;Mitte midagi;5-10 minutit;Selleks ma pean autot maha müüma;Väga hea;46-60 minutit;Väga ohtlik;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;On suur probleem ;Juhid ei lase teed lastele;Käin autoga, sõidan väga aeglaselt kooli ümbruses, pargin parkimisreas, kunagi ei sõida keeluva märgi alla;Jalakäija teed võiks teha;Ei oska öelda;Politsei patrul võiks tihedamini seista kooli juures hommikuti
11/22/2019 15:04:02;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;Üle 10 km;Harva;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Muud võimalust pole.;Harva;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;See ainuke viis.;Viin autoga kooli (isegi kui vahel harva)+Toon autoga koolist (isegi kui vahel harva);suhteliselt ohutu;Kunagui ei tea mis võib juhtuda.;11-20 minutit;Kui jääb bussist maha;Nii ja naa;Nii ja naa;Käibki ise ;46-60 minutit;käibki ise;Nii ja naa;21-30 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad;Suhteliselt väike probleem;Ei ole märganud;Ei käi väga koolis ;;;
11/22/2019 15:31:58;Tallinna Järveotsa Gümnaasium;Mees;1.-3.;1-5 km;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Elame koolist kaugel;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Viin autoga kooli (isegi kui vahel harva)+Toon autoga koolist (isegi kui vahel harva);suhteliselt ohutu;hoolimatud autojuhid;5-10 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);Pean oluliseks;Pean oluliseks;oleks aega iseendale;31-45 minutit;valgete ilmadega;Väga hea;rohkem kui 60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;On suur probleem ;kiirust ületavad juhi;Pargin koolist eemale;Ei;olla ise tähelepanelikum;"hoolivust peaks rohkem olema
"
11/22/2019 15:35:15;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;1-5 km;Harva;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Laps saab iseaeisvalt ühistranspordiga liigeldud. Erandkorras sõidutame autoga.;Harva;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Koolitee pikkust arvestades on jalgsi liialt pikk maa. Jalgrattaga pole piisavalt ohutu Tallinnas lapsel liigelda.;Viin autoga kooli (isegi kui vahel harva)+Toon autoga koolist (isegi kui vahel harva);suhteliselt ohutu;Teised eeskirju eiravad autojuhid;5-10 minutit;Viime halva ilma korral+Kui oleme hiljaks jäämas+Kui lapsed on hommikul väga väsinud;Pean oluliseks;Pean väga oluliseks;Annaks juurde aega teiste tegevuste jaoks;21-30 minutit;Kui ilm oleks alati hea ja bussiajad sobituksid paremini päevakavva;Nii ja naa;31-45 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Väikesed ohutussaared suure liiklusega teel+Suurem oht langeda kuriteo ohvriks+Sõidukijuhid sõidavad tihti punase fooritulega ristmikule+mida lapsed peavad ületama+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;On suur probleem ;Punase tulega üle sebra sõitvad autojuhid;Pargin koolist eemale;Kergliiklusteed ja valgustus paremaks;Olla teistega arvestav;Inimeste teadlikuse tõstmime
11/22/2019 15:44:12;Tallinna Järveotsa Gümnaasium;Mees;1.-3.;5-10 km;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Hommikul tööle sõites viin ka lapse kooli ära, bussi ajad ei klapi kooli algusega;Pooltel kordadel nädalast;Mitte kunagi;Pooltel kordadel nädalast;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Koolist tulles peab laps ületama 6-realise Õismäe tee (Väike-Õismäe lõpp-peatus), kus puudub valgusfoor, kuna tegemist on suht ohtliku kohaga (tee äärde pargitud autodest väike laps üle ei näe, seega peab ta minema sõiduteele, et veenduda, kas eemalt tuleb auto või mitte), siis võimalusel tulen kooli vastu. Kui ka buss esimese reas peatub, siis bussi kõrvalt tulev auto ei pruugi seda teha (proovipäeval lapsega kodutee läbijalutades nii just juhtus) ja seda ohtu väike laps ei tunneta/näe. ;Viin autoga kooli (isegi kui vahel harva)+Toon autoga koolist (isegi kui vahel harva);ohtlik;Tallinna Järveotsa kooli taga/kõrval puudub kõnnitee (mitte staadioni poolel). Väga paljud toovad oma lapsi just sealt kaudu kooli ja suurem osa eirab keelumärki, mis keelab koolimaja territooriumile sisse sõita. Nii ongi igal hommikul lapsed ja autod segamini (mõni hakkab üle tee jooksma, hommikuti on pime aeg, ime, et seal ei ole õnnetust juhtunud). Isegi, kui koolimaja territooriumile sisse ei sõidetaks, puudub seal lastele kõnnitee - vihamaga on jalad mudased ja talvel lumised.;11-20 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem)+Sest nii on ohutum;Pean väga oluliseks;Pean väga oluliseks;Ei peaks ise nii vara kodunt lahkuma, ega töölt vahepeal ära käima;46-60 minutit;Bussiaegade muutmisel (laps saab koju nr 27 bussiga) ja sõidutee ohutumaks tegemisel.;Nii ja naa;rohkem kui 60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed+Väikesed ohutussaared suure liiklusega teel+Suurem oht langeda kuriteo ohvriks+Sõidukijuhid sõidavad tihti punase fooritulega ristmikule+mida lapsed peavad ületama+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Lubatud sõidukiirust ületavad juhid+Kooli minnes bussiga ei pea laps teed ületama. Ainukeseks ohuks on ilma rihmata jalutavad koerad ja joobes inimesed. Koolist koju tulles on palju ohte.;On suur probleem ;Eelneval lehel juba selgitasin: autod, kes eiravad keelumärki ja kõnnitee puudumine.;Ei pargi, vaid peatun hommikul korraks, et laps välja lasta.;hommikuti võiks mingil ajal politsei korda reguleerida ning rajada tuleks kõnnitee.Praegu liiguvad paljud lapsed sõiduteedpidi või mööda mudateed.;;
11/22/2019 16:00:33;Tallinna Järveotsa Gümnaasium;Mees;10.-12.;Üle 10 km;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;hetkel ainus viis;Pooltel kordadel nädalast;Mitte kunagi;Pooltel kordadel nädalast;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;pole võimalik Alati autoga last koju viia;Viin autoga kooli (isegi kui vahel harva)+Toon autoga koolist (isegi kui vahel harva);suhteliselt ohutu;kooli juures on suuremat sorti kulgemine e. mitte korrektne liiklus;31-45 minutit;Viime+selleks+et see aitab meil oma (lapsevanema) päeva rutiini hoida+Sest nii on ohutum;Ei pea üldse oluliseks;Nii ja naa;muretsen rohkem lapse ohutuse pärast;rohkem kui 60 minutit;kui ma talle auto annaksin kasutada;Hea;21-30 minutit;Ohtlik;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed+Suurem oht langeda kuriteo ohvriks+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;On suur probleem ;autojuhtide üksteise mitte mõistmine kitsastes magalarajoonides liiklemisel;ei pargi ja arvestan kaasliiklejatega ning liiiklus keskkonnaga;ei. seda saaks linnaosavalitsus teha - ühesuunalise liikluse korraldamine;jah, arvestada olukorraga;ohutussaared, valgustus ja liiklussuuna reguleerimine
11/22/2019 16:28:25;Tallinna Järveotsa Gümnaasium;Mees;1.-3.;1-5 km;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Siis tean et laps jôuab õigeaegselt kooli;Tihti;Mitte kunagi;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Viin autoga kooli (isegi kui vahel harva);suhteliselt ohutu;Avarii;alla 5 minuti;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);Pean oluliseks;Nii ja naa;Laps saaks vôtta rohkem vastutust;11-20 minutit;Siis kui teda bussini saadaks ;Hea;31-45 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud;On suur probleem ;Lapsed jooksevad teele, veendumata ohutuses;Toidupoe parklasse. Sealt saab laps jalutada kooli mőőda jalakäijate teed;;;
11/22/2019 16:29:56;Tallinna Järveotsa Gümnaasium;Mees;1.-3.;1-5 km;Pooltel kordadel nädalast;Mitte kunagi;Pooltel kordadel nädalast;Mitte kunagi;Mitte kunagi;Mitte kunagi;Nii on meile mugavam;Pooltel kordadel nädalast;Mitte kunagi;Mitte kunagi;Pooltel kordadel nädalast;Mitte kunagi;Mitte kunagi;Mitte kunagi;Nii on meile mugav;Viin autoga kooli (isegi kui vahel harva)+Toon autoga koolist (isegi kui vahel harva);täiesti ohutu;;11-20 minutit;Viime halva ilma korral+Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem)+Kui oleme hiljaks jäämas;Nii ja naa;Nii ja naa;Ei muutu midagi;31-45 minutit;Ei tea;Nii ja naa;46-60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed;On suur probleem ;Ei ole märganud;Pargin koolist eemale;;;
11/22/2019 16:37:11;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;Kuni 1 km;Harva;Tihti;Mitte kunagi;Harva;Mitte kunagi;Mitte kunagi;Bussiga jõuab kiiremini kui jala, autoga ei saa viia, kuna kellaajaliselt ei sobi kokku;Harva;Mitte kunagi;Tihti;Harva;Harva;Mitte kunagi;Mitte kunagi;;Ei kasuta lapse transportimiseks autot;täiesti ohutu;;alla 5 minuti;Kui lapsed paluvad;Pean väga oluliseks;Nii ja naa;Käib ise koolis;11-20 minutit;käibki ise;Väga hea;31-45 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud;On suur probleem ;Vahest autod ei lase lapsi üle tee;Ei tule kooli juurde kohe;;;
11/22/2019 16:39:48;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;5-10 km;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kuna kool jääb samasse kanti kus mehe töökoht, viib mees lapse autoga kooli;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Koju tuleb ise bussiga;Viin autoga kooli (isegi kui vahel harva);suhteliselt ohutu;Alati võib juhtuda õnnetus kellegi teise süü tõttu;5-10 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);Nii ja naa;Pean oluliseks;Ei muutuks midagi, vajadusel käib laps ise bussiga kooli;21-30 minutit;käibki ise;Nii ja naa;31-45 minutit;Suhteliselt ohutu;Halvasti valgustatud tänavad+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;On suur probleem ;Ei ole märganud;pargime selleks ettenähtud kohta, kooli juurde autoga sõita ei tohi;;;
11/22/2019 16:42:32;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;1-5 km;Mitte kunagi;Tihti;Pooltel kordadel nädalast;Mitte kunagi;Mitte kunagi;Mitte kunagi;Autoga viime ainult äärmisel vajadusel;Mitte kunagi;Mitte kunagi;Tihti;Pooltel kordadel nädalast;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Ei kasuta lapse transportimiseks autot;täiesti ohutu;Ma vastasin et ei vii autoga, see küsimus ei ole relevantne;5-10 minutit;Kui oleme hiljaks jäämas;Ei pea üldse oluliseks;Ei pea üldse oluliseks;Käib ise koolis;11-20 minutit;Tee kooli võiks olla turvalisem, on ainult 1 ülekäigurada ja seegi reguleerimata;Väga hea;rohkem kui 60 minutit;Väga ohtlik;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Lubatud sõidukiirust ületavad juhid;Ei tekita muret;Autojuhid kiirustavad, ei arvesta inimese liikumiskiirusega;Poe parklasse;;;
